codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones,inicio_automatica
1000005,DGA,dga_web,Visviri,4080,-17.595,-69.4831,10.0,Altiplanicas,100.0,Entre Limite Peru-Bolivia Y Rio Lauca,2014-01-01,2018-02-04,1484,2014-01-01
1201005,DGA,dga_web,Rio Caracarani En Humapalca,3908,-17.8428,-69.6994,12.0,Rio Lluta,120.0,Rio Lluta Alto,2016-09-01,2018-01-30,502,2016-09-01
1001005,DGA,dga_web,Caquena,4400,-18.0542,-69.2017,10.0,Altiplanicas,100.0,Entre Limite Peru-Bolivia Y Rio Lauca,1976-10-04,1993-09-30,4072,-
1202009,DGA,dga_web,Pacollo,4185,-18.1769,-69.5092,12.0,Rio Lluta,120.0,Rio Lluta Alto,1978-11-20,1994-01-02,4779,-
1202012,DGA,dga_web,Putre (Dcp),3560,-18.195,-69.5589,12.0,Rio Lluta,120.0,Rio Lluta Alto,2002-01-17,2018-02-04,1765,2016-09-01
1202010,DGA,dga_web,Putre,3545,-18.1992,-69.5603,12.0,Rio Lluta,120.0,Rio Lluta Alto,1976-01-20,1994-01-02,6017,-
1020017,DGA,dga_web,Parinacota Ex Endesa,4420,-18.2042,-69.2683,10.0,Altiplanicas,102.0,Rio Lauca,1989-02-07,2018-02-04,1138,2016-09-01
1010010,DGA,dga_web,Chungara Ajata,4585,-18.2353,-69.1833,10.0,Altiplanicas,101.0,Lago Chungara,1991-05-11,2018-02-04,2737,2011-01-01
1300004,DGA,dga_web,Murmuntane,3550,-18.3519,-69.5519,13.0,Rio San Jose,130.0,Azapa Alto,1970-06-01,1984-11-22,2717,-
1211006,DGA,dga_web,Lluta,290,-18.4103,-70.1692,12.0,Rio Lluta,121.0,Rio Lluta Bajo,1968-12-17,1993-12-26,4085,-
1310018,DGA,dga_web,Arica Oficina,20,-18.4775,-70.3208,13.0,Rio San Jose,131.0,Rio San Jose,1974-12-31,1989-12-16,1839,-
1310021,DGA,dga_web,U. Del Norte,55,-18.4833,-70.2936,13.0,Rio San Jose,131.0,Rio San Jose,1975-05-02,1985-06-29,2916,-
1021002,DGA,dga_web,Rio Guallatire En Guallatire,4280,-18.4931,-69.1494,10.0,Altiplanicas,102.0,Rio Lauca,2016-09-01,2018-02-04,522,2016-09-01
1021007,DGA,dga_web,Guallatire,4240,-18.4983,-69.1547,10.0,Altiplanicas,102.0,Rio Lauca,1968-12-20,1971-09-30,700,-
1310022,DGA,dga_web,El Buitre Aerodromo,110,-18.5119,-70.2842,13.0,Rio San Jose,131.0,Rio San Jose,1985-08-27,1993-12-31,2585,-
1310019,DGA,dga_web,Azapa,365,-18.5156,-70.1806,13.0,Rio San Jose,131.0,Rio San Jose,1968-12-17,1994-01-02,7611,-
1310020,DGA,dga_web,La Rivera,310,-18.5283,-70.1642,13.0,Rio San Jose,131.0,Rio San Jose,1970-07-14,1973-11-13,965,-
1030003,DGA,dga_web,Chilcaya,4270,-18.7939,-69.0844,10.0,Altiplanicas,103.0,Salar De Surire,1971-10-26,1987-03-27,2411,-
