codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones,inicio_automatica
1000005,DGA,dga_web,Visviri,4080,-17.595,-69.4831,10.0,Altiplanicas,100.0,Entre Limite Peru-Bolivia Y Rio Lauca,2014-01-01,2018-02-03,1481,2014-01-01
1201005,DGA,dga_web,Rio Caracarani En Humapalca,3908,-17.8428,-69.6994,12.0,Rio Lluta,120.0,Rio Lluta Alto,2013-08-01,2018-01-30,713,2016-09-01
1001005,DGA,dga_web,Caquena,4400,-18.0542,-69.2017,10.0,Altiplanicas,100.0,Entre Limite Peru-Bolivia Y Rio Lauca,1976-10-04,2013-01-19,9791,-
1202009,DGA,dga_web,Pacollo,4185,-18.1769,-69.5092,12.0,Rio Lluta,120.0,Rio Lluta Alto,1978-11-06,1999-05-31,7199,-
1202012,DGA,dga_web,Putre (Dcp),3560,-18.195,-69.5589,12.0,Rio Lluta,120.0,Rio Lluta Alto,2002-01-17,2018-02-03,2107,2016-09-01
1202010,DGA,dga_web,Putre,3545,-18.1992,-69.5603,12.0,Rio Lluta,120.0,Rio Lluta Alto,1976-01-20,2009-10-31,11661,-
1020017,DGA,dga_web,Parinacota Ex Endesa,4420,-18.2042,-69.2683,10.0,Altiplanicas,102.0,Rio Lauca,1986-06-30,2018-02-03,8212,2016-09-01
1020018,DGA,dga_web,Chucuyo (Ex. Endesa),4400,-18.2181,-69.3214,10.0,Altiplanicas,102.0,Rio Lauca,1985-01-01,1990-03-30,1366,-
1010010,DGA,dga_web,Chungara Ajata,4585,-18.2353,-69.1833,10.0,Altiplanicas,101.0,Lago Chungara,1986-01-01,2018-02-03,10921,2012-01-01
1300004,DGA,dga_web,Murmuntane,3550,-18.3519,-69.5519,13.0,Rio San Jose,130.0,Azapa Alto,1970-06-01,1987-12-31,3518,-
1211006,DGA,dga_web,Lluta,290,-18.4103,-70.1692,12.0,Rio Lluta,121.0,Rio Lluta Bajo,1968-12-17,1993-12-31,5244,-
1310018,DGA,dga_web,Arica Oficina,20,-18.4775,-70.3208,13.0,Rio San Jose,131.0,Rio San Jose,1974-09-21,1989-12-16,1958,-
1310021,DGA,dga_web,U. Del Norte,55,-18.4833,-70.2936,13.0,Rio San Jose,131.0,Rio San Jose,1975-05-02,1985-06-29,3177,-
1021002,DGA,dga_web,Rio Guallatire En Guallatire,4280,-18.4931,-69.1494,10.0,Altiplanicas,102.0,Rio Lauca,2016-09-01,2018-02-03,520,2016-09-01
1021007,DGA,dga_web,Guallatire,4240,-18.4983,-69.1547,10.0,Altiplanicas,102.0,Rio Lauca,1968-12-20,1971-09-30,722,-
1310022,DGA,dga_web,El Buitre Aerodromo,110,-18.5119,-70.2842,13.0,Rio San Jose,131.0,Rio San Jose,1985-08-27,2012-03-31,9661,-
1310019,DGA,dga_web,Azapa,365,-18.5156,-70.1806,13.0,Rio San Jose,131.0,Rio San Jose,1968-12-01,2016-12-31,16408,-
1310020,DGA,dga_web,La Rivera,310,-18.5283,-70.1642,13.0,Rio San Jose,131.0,Rio San Jose,1970-07-14,1973-11-30,1033,-
1030003,DGA,dga_web,Chilcaya,4270,-18.7939,-69.0844,10.0,Altiplanicas,103.0,Salar De Surire,1971-10-26,2014-01-31,7694,-
1410011,DGA,dga_web,Chaca,350,-18.8169,-70.15,14.0,Costeras R. San Jose-Q.Camarones,141.0,Quebrada Vitor,1968-12-18,1979-11-28,3724,-
1410012,DGA,dga_web,Codpa,1870,-18.8322,-69.7439,14.0,Costeras R. San Jose-Q.Camarones,141.0,Quebrada Vitor,1968-12-18,2016-07-31,16632,-
1502006,DGA,dga_web,Cuya,200,-19.1117,-70.1269,15.0,Q. Rio Camarones,150.0,Rio Camarones Antes Junta Quebrada De Chiza,1965-11-02,1979-03-31,2586,-
1610004,DGA,dga_web,Q. Camia 3 Km. A. Arriba De Tarcavire,3848,-19.1181,-69.2447,16.0,Costeras R.Camarones-Pampa Del Tamarugal,161.0,Quebrada De Camina,2013-06-27,2018-02-03,1574,2013-06-27
1041003,DGA,dga_web,Colchane (T. Isluga),3700,-19.2764,-68.6378,10.0,Altiplanicas,104.0,Entre Estero Sencata Y Rio Sacaya,2011-01-01,2018-02-03,2055,2011-01-01
1730018,DGA,dga_web,Lagunillas (Pampa Lirima),4020,-19.9333,-68.8369,17.0,Pampa Del Tamarugal,173.0,Quebrada De Tarapaca,1982-09-13,2015-09-30,10979,-
1050007,DGA,dga_web,Coyacagua,4013,-20.0531,-68.8075,10.0,Altiplanicas,105.0,Salar Del Huasco,1961-11-17,2013-09-30,16602,-
1740002,DGA,dga_web,Cerro Colorado,2510,-20.065,-69.2703,17.0,Pampa Del Tamarugal,174.0,Quebrada De Quipisca,1993-04-14,2015-08-31,7378,-
1700010,DGA,dga_web,Huara En Fuerte Baquedano,1100,-20.1308,-69.7497,17.0,Pampa Del Tamarugal,170.0,Pampa Del Tamarugal,1993-02-16,2013-06-30,5984,-
1051003,DGA,dga_web,Salar Huasco,3800,-20.2761,-68.8861,10.0,Altiplanicas,105.0,Salar Del Huasco,1981-08-04,1982-06-30,295,-
1700008,DGA,dga_web,Esmeralda,1115,-20.4842,-69.3814,17.0,Pampa Del Tamarugal,170.0,Pampa Del Tamarugal,1966-09-04,1973-11-22,983,-
1700009,DGA,dga_web,Coposa,3760,-20.7086,-68.6942,17.0,Pampa Del Tamarugal,170.0,Pampa Del Tamarugal,2015-05-01,2015-09-29,150,-
2113005,DGA,dga_web,Guatacondo Dga,2460,-20.9272,-69.0456,21.0,Rio Loa,211.0,Loa Medio (Entre R.  Salado Y Q. De Barrera),1978-01-01,1990-11-30,3501,-
1080001,DGA,dga_web,Ujina,4300,-20.9714,-68.6275,10.0,Altiplanicas,108.0,Salar De Michincha,1973-11-10,2015-09-29,2908,-
2000001,DGA,dga_web,Ollague,3700,-21.2233,-68.2494,20.0,Fronterizas Salar Michincha-R.Loa,200.0,Salar De Ollague,1973-11-08,2018-02-02,6834,2017-01-01
2020001,DGA,dga_web,Cebollar,3730,-21.5311,-68.3386,20.0,Fronterizas Salar Michincha-R.Loa,202.0,Salar De Ascotan,1969-11-11,1988-09-04,4603,-
2101003,DGA,dga_web,Lequena,3320,-21.6553,-68.6611,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),1984-03-15,2013-09-18,6708,-
2112008,DGA,dga_web,Quillagua,802,-21.6603,-69.5358,21.0,Rio Loa,211.0,Loa Medio (Entre R.  Salado Y Q. De Barrera),1969-05-29,1979-06-30,2186,-
2020002,DGA,dga_web,Ascotan,3970,-21.7253,-68.2756,20.0,Fronterizas Salar Michincha-R.Loa,202.0,Salar De Ascotan,1974-08-03,1983-03-05,2479,-
2103008,DGA,dga_web,Parshall N 2,3318,-21.9428,-68.5175,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),1969-01-21,2012-08-03,15089,-
2103009,DGA,dga_web,Ojos San Pedro,3800,-21.9706,-68.3128,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),1969-03-25,1989-12-29,3707,-
2104008,DGA,dga_web,Conchi Embalse,3010,-22.025,-68.6242,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),1967-09-11,2016-11-30,14655,-
2104009,DGA,dga_web,Conchi Muro Embalse,3000,-22.0267,-68.6208,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),1980-12-04,1991-12-31,3806,-
2103010,DGA,dga_web,Inacaliri,4040,-22.0278,-68.0661,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),1969-01-01,1992-10-16,7111,-
2104002,DGA,dga_web,Rio Loa En Salida Embalse Conchi,2950,-22.0278,-68.6208,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),2012-03-01,2012-03-07,2,-
2210002,DGA,dga_web,Tocopilla,150,-22.0797,-70.1897,22.0,Costeras R.Loa-Q.Caracoles,221.0,Costeras Entre Q. Iquine Y Q.Tocopilla (Inclusive),2014-01-01,2018-01-01,815,2014-01-01
2105014,DGA,dga_web,Cupo,3370,-22.1147,-68.3167,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),2012-01-26,2012-03-01,7,-
2105016,DGA,dga_web,Linzor,4100,-22.2297,-68.0228,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),1973-11-22,2018-02-03,12903,2007-01-31
2105015,DGA,dga_web,Turi,3070,-22.2408,-68.2881,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),1980-05-31,1993-05-30,4700,-
2105017,DGA,dga_web,Toconce,3310,-22.2592,-68.1733,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),1993-09-01,2016-12-31,7681,-
2105018,DGA,dga_web,Ayquina,3031,-22.2753,-68.3183,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),1993-06-01,2016-12-31,7773,-
2105001,DGA,dga_web,Rio Salado A. J. Curti,3080,-22.2792,-68.2428,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),2012-03-01,2012-03-08,2,-
2105020,DGA,dga_web,Salado Embalse,3200,-22.2856,-68.2028,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),2005-10-19,2018-02-03,3139,2005-10-19
2105021,DGA,dga_web,Caspana,3260,-22.3367,-68.2122,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),1973-08-11,2008-02-29,11332,-
2104010,DGA,dga_web,Chiu-Chiu,2524,-22.3378,-68.6367,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),1979-06-12,2016-12-31,13177,-
2105022,DGA,dga_web,El Tatio,4370,-22.3711,-68.0133,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),1983-01-04,2018-02-03,9376,2006-01-01
2112009,DGA,dga_web,Coya Sur,1250,-22.3939,-69.6225,21.0,Rio Loa,211.0,Loa Medio (Entre R.  Salado Y Q. De Barrera),1973-11-19,1991-06-30,6263,-
2110013,DGA,dga_web,Calama,2300,-22.4494,-68.9044,21.0,Rio Loa,211.0,Loa Medio (Entre R.  Salado Y Q. De Barrera),1963-12-03,1994-12-23,9531,-
2700001,DGA,dga_web,Sierra Gorda,1616,-22.8892,-69.3219,27.0,Quebrada Caracoles,270.0,Quebrada Caracoles Bajo Junta Quebrada El Buitre,1994-09-06,2018-02-03,7957,2015-01-01
2510006,DGA,dga_web,San Pedro De Atacama,2450,-22.9053,-68.2003,25.0,Salar De Atacama,251.0,Rio San Pedro,1958-09-01,1989-03-30,8125,-
2500016,DGA,dga_web,Toconao Experimental,2500,-23.1889,-67.9978,25.0,Salar De Atacama,250.0,Salar De Atacama,1981-10-27,2009-02-28,6901,-
2710002,DGA,dga_web,Baquedano,1032,-23.3336,-69.8397,27.0,Quebrada Caracoles,271.0,Q. Caracoles Entre Quebrada El Buitre Y  Salar Del Carmen,1973-11-16,2018-02-03,5346,2014-01-01
2240000,DGA,dga_web,Liceo CientÍFico Humanista La Chimba,0,-23.5544,-70.3933,22.0,Costeras R.Loa-Q.Caracoles,224.0,Costeras Entre Qs. Chacaya Y Caracoles (Incl.),2014-01-01,2016-12-02,449,2014-01-01
2500019,DGA,dga_web,Socaire,3251,-23.5869,-67.8925,25.0,Salar De Atacama,250.0,Salar De Atacama,1974-08-08,1998-11-16,3455,-
2710003,DGA,dga_web,Antofagasta,50,-23.5975,-70.3867,27.0,Quebrada Caracoles,271.0,Q. Caracoles Entre Quebrada El Buitre Y  Salar Del Carmen,1978-05-30,1987-10-30,3272,-
2500020,DGA,dga_web,Peine,2460,-23.6842,-68.0581,25.0,Salar De Atacama,250.0,Salar De Atacama,1974-11-22,2016-12-31,13185,-
2660001,DGA,dga_web,Monturaqui,3430,-24.3414,-68.4353,26.0,Endorreicas Salar Atacama-Vertiente Pacifico,266.0,Pampa De Socompa,1974-11-14,1980-06-20,1936,-
2942001,DGA,dga_web,Aguas Verdes,1560,-25.4,-69.9633,29.0,Costeras Entre Q. La Negra Y Q. Pan De Azucar,294.0,Quebrada De Taltal,1987-09-15,2016-12-31,9405,-
2943002,DGA,dga_web,Tal-Tal (Dcp),0,-25.4033,-70.4797,29.0,Qs.Entre Q. La Negra Y Q. Pan De Azucar,294.0,Quebrada De Taltal,2014-01-01,2018-02-03,929,2014-01-01
3210001,DGA,dga_web,Las Vegas,2250,-26.6781,-69.6656,32.0,Rio Salado,321.0,Quebrada Del Chanaral,2016-10-05,2018-02-03,372,2016-10-05
3450004,DGA,dga_web,Copiapo,385,-27.3772,-70.3308,34.0,Rio Copiapo,345.0,R.  Copiapo Bajo,1984-04-01,2018-02-03,5392,2016-01-01
3430007,DGA,dga_web,Los Loros,940,-27.8317,-70.1119,34.0,Rio Copiapo,343.0,R.  Copiapo Medio,1988-07-09,2016-12-31,10064,-
3430006,DGA,dga_web,Lautaro Embalse,1110,-27.9783,-70.0033,34.0,Rio Copiapo,343.0,R.  Copiapo Medio,1969-06-22,2018-02-03,16744,2016-11-01
3414001,DGA,dga_web,Rio Pulido En Vertedero,1310,-28.0858,-69.9408,34.0,Rio Copiapo,341.0,Rio Pulido,2016-01-01,2018-02-03,664,2016-01-01
3701001,DGA,dga_web,Canto De Agua,330,-28.0992,-70.7811,37.0,Quebrada Carrizal Y Costeras Hasta R. Huasco,370.0,Quebradas Carrizal Y Carrizalillo,1986-03-01,2016-12-31,10210,-
3414002,DGA,dga_web,Iglesia Colorada,1550,-28.1572,-69.8808,34.0,Rio Copiapo,341.0,Rio Pulido,1993-02-12,2016-12-31,8506,-
3826003,DGA,dga_web,Huasco Bajo,50,-28.4725,-71.1931,38.0,Rio Huasco,382.0,Rio Huasco,1993-02-17,2011-02-27,6289,-
3825004,DGA,dga_web,Freirina,100,-28.5072,-71.0806,38.0,Rio Huasco,382.0,Rio Huasco,1987-05-01,1992-08-31,1694,-
3823004,DGA,dga_web,La Compaia (Vallenar),430,-28.5761,-70.8081,38.0,Rio Huasco,382.0,Rio Huasco,1993-02-01,2016-12-31,8686,-
3823002,DGA,dga_web,Vallenar Dmc,535,-28.5936,-70.7572,38.0,Rio Huasco,382.0,Rio Huasco,1977-07-01,1983-07-31,1982,-
3800000,DGA,dga_web,Portezuelo El Gaucho,4000,-28.6231,-70.045,38.0,Rio Huasco,380.0,Rio Transito,2000-01-01,2018-02-03,2949,2000-01-01
3820004,DGA,dga_web,Santa Juana,560,-28.6672,-70.6625,38.0,Rio Huasco,382.0,Rio Huasco,1965-01-21,2018-02-03,18117,2017-01-01
3820002,DGA,dga_web,Rio Huasco En Chepica,600,-28.6997,-70.55,38.0,Rio Huasco,382.0,Rio Huasco,2015-09-29,2016-01-01,5,2015-09-29
3806002,DGA,dga_web,El Transito,1100,-28.8731,-70.2822,38.0,Rio Huasco,380.0,Rio Transito,1993-01-20,2018-02-03,8640,2016-02-22
3815004,DGA,dga_web,San Felix,1150,-28.9311,-70.4614,38.0,Rio Huasco,381.0,Rio Del Carmen,1993-01-19,2016-12-31,8467,-
3802001,DGA,dga_web,Rio Conay En Las Lozas,0,-28.9456,-70.1011,38.0,Rio Huasco,380.0,Rio Transito,2016-10-19,2017-05-25,219,2016-10-19
3802006,DGA,dga_web,Conay En Albaricoque,1600,-28.9519,-70.1106,38.0,Rio Huasco,380.0,Rio Transito,1999-01-01,2016-12-31,6568,-
3802005,DGA,dga_web,Conay,1450,-28.975,-70.1533,38.0,Rio Huasco,380.0,Rio Transito,1965-01-21,1998-12-31,8133,-
3804005,DGA,dga_web,El Parral,1400,-28.9797,-70.1986,38.0,Rio Huasco,380.0,Rio Transito,1993-03-01,1998-06-26,1499,-
3814003,DGA,dga_web,Rio Carmen En El Corral,2000,-29.1094,-70.4139,38.0,Rio Huasco,381.0,Rio Del Carmen,2016-10-19,2018-02-03,456,2016-10-19
4120001,DGA,dga_web,El Trapiche,300,-29.3731,-71.1181,41.0,Rio Los Choros,412.0,Q. Los Choros Entre Q. Del Pelicano Y Desembocadura,1979-03-09,2016-12-31,13587,-
4335002,DGA,dga_web,La Serena (Escuela Agricola),15,-29.9061,-71.2556,43.0,Rio Elqui,433.0,R. Elqui Bajo,1972-07-01,1978-06-06,1589,-
4308001,DGA,dga_web,Rio Turbio En Varillar,890,-29.9458,-70.5328,43.0,Rio Elqui,430.0,Rio Turbio,2015-06-01,2018-02-03,416,2016-09-01
4302001,DGA,dga_web,Rio Toro Antes Junta Rio La Laguna,2165,-29.9711,-70.0928,43.0,Rio Elqui,430.0,Rio Turbio,2015-05-01,2018-02-03,603,2016-09-01
4302014,DGA,dga_web,Juntas,2150,-29.9769,-70.0944,43.0,Rio Elqui,430.0,Rio Turbio,1990-01-01,2013-12-22,8326,-
4308003,DGA,dga_web,Rivadavia,820,-29.9772,-70.5617,43.0,Rio Elqui,430.0,Rio Turbio,1972-06-13,2016-12-31,16170,-
4314002,DGA,dga_web,Rio Claro En Rivadavia,820,-29.9781,-70.5525,43.0,Rio Elqui,431.0,Rio Claro,2016-09-02,2018-02-03,520,2016-09-02
4323007,DGA,dga_web,Almendral,370,-29.9822,-70.9186,43.0,Rio Elqui,432.0,R. Elqui Medio,1973-04-11,1989-12-31,5754,-
4321001,DGA,dga_web,Puclaro Embalse,460,-29.9964,-70.8556,43.0,Rio Elqui,432.0,R. Elqui Medio,1963-11-01,1967-04-28,1265,-
4400002,DGA,dga_web,Pan De Azucar,100,-30.0022,-71.2592,44.0,Costeras Entre Elqui Y Limari,440.0,E.  El Culebron - Q. El Romeral (Incl.),1978-08-28,1993-09-30,4351,-
4311005,DGA,dga_web,La Ortiga,1560,-30.1939,-70.4819,43.0,Rio Elqui,431.0,Rio Claro,1979-01-29,2016-12-31,13849,-
4301005,DGA,dga_web,La Laguna Embalse,3160,-30.2033,-70.0422,43.0,Rio Elqui,430.0,Rio Turbio,1974-01-01,2016-12-31,15284,-
4502005,DGA,dga_web,Hurtado,1100,-30.2867,-70.6961,45.0,Rio Limari,450.0,Rio Hurtado,1979-02-26,2016-12-31,13291,-
4502004,DGA,dga_web,La Cortadera,920,-30.3503,-70.77,45.0,Rio Limari,450.0,Rio Hurtado,1967-06-24,1974-07-30,2310,-
4503001,DGA,dga_web,Rio Hurtado En Angostura De Pangue,485,-30.4386,-71.0022,45.0,Rio Limari,450.0,Rio Hurtado,2017-06-09,2018-01-01,51,2017-06-09
4506007,DGA,dga_web,Recoleta Embalse,350,-30.5069,-71.0997,45.0,Rio Limari,450.0,Rio Hurtado,1989-10-21,2016-12-31,9763,-
4551004,DGA,dga_web,Ovalle (Escuela Agricola),340,-30.5528,-71.1642,45.0,Rio Limari,455.0,Rio Limari,1977-08-24,1983-02-27,1963,-
4557001,DGA,dga_web,Salala,100,-30.6783,-71.53,45.0,Rio Limari,455.0,Rio Limari,1968-10-07,1977-07-30,2903,-
4540006,DGA,dga_web,Paloma Embalse,320,-30.6958,-71.0361,45.0,Rio Limari,454.0,Rio Grande Bajo (Entre Embalse Paloma Y Rio Hurtado),1964-05-01,2016-12-31,19130,-
4523004,DGA,dga_web,Puntilla San Juan,430,-30.7025,-70.9178,45.0,Rio Limari,452.0,R. Grande Medio (Arriba Junta R. Rapel Y R. Guatulame O Muro Emb. Paloma),1967-10-01,1979-02-16,4084,-
4523002,DGA,dga_web,Rio Grande En Puntilla San Juan,420,-30.7047,-70.9244,45.0,Rio Limari,452.0,Rio Grande Medio (Arriba Junta Rapel Y E Paloma),2017-01-01,2017-10-24,154,2017-01-01
4537003,DGA,dga_web,El Tome,420,-30.8178,-70.9706,45.0,Rio Limari,453.0,R. Guatulame (Muro Embalse Paloma),1968-02-01,1988-06-17,7386,-
4513004,DGA,dga_web,Caren,740,-30.8547,-70.7708,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),1967-06-12,2016-06-06,16810,-
4511004,DGA,dga_web,Cerro Vega Negra,3600,-30.9033,-70.5158,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),1999-02-26,2018-02-03,5544,1999-02-26
4535001,DGA,dga_web,Cogoti Embalse,740,-31.0078,-71.0856,45.0,Rio Limari,453.0,R. Guatulame (Muro Embalse Paloma),1965-01-14,2016-12-31,18844,-
4511003,DGA,dga_web,Las Ramadas,1380,-31.0181,-70.5858,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),1968-06-13,2016-09-30,16944,-
4531002,DGA,dga_web,Rio Cogoti Entrada Embalse Cogoti,670,-31.0325,-71.0403,45.0,Rio Limari,453.0,Rio Huatulame (Muro Embalse Paloma),2014-01-01,2018-02-03,1098,2014-01-01
4530001,DGA,dga_web,Rio Cogoti En Fraguita,1065,-31.1119,-70.885,45.0,Rio Limari,453.0,R. Guatulame (Muro Embalse Paloma),2014-01-01,2018-01-01,793,2014-01-01
4721001,DGA,dga_web,Rio Illapel En Las Burras,1079,-31.5069,-70.8125,47.0,Rio Choapa,472.0,Rio Illapel,2013-09-10,2014-05-20,253,2013-09-10
4722001,DGA,dga_web,Santa Virginia,980,-31.5503,-70.8353,47.0,Rio Choapa,472.0,Rio Illapel,1979-02-14,1989-03-29,3533,-
4723001,DGA,dga_web,Rio Illapel En Huintil,775,-31.5608,-70.9644,47.0,Rio Choapa,472.0,Rio Illapel,2015-03-01,2018-02-03,677,2016-09-01
4726003,DGA,dga_web,Illapel Dga,290,-31.645,-71.1908,47.0,Rio Choapa,472.0,Rio Illapel,1972-07-01,2016-12-31,15130,-
4710001,DGA,dga_web,La Tranquilla,1000,-31.9,-70.6706,47.0,Rio Choapa,471.0,Rio Choapa Medio (Entre Rios Cuncumen E Illapel),1962-01-01,2016-12-31,19629,-
4810003,DGA,dga_web,Caimanes,450,-31.9322,-71.1361,48.0,Costeras Entre R.Choapa Y R.Quilimari,481.0,Estero Pupio,1989-08-09,2007-02-28,5893,-
4700002,DGA,dga_web,El Soldado,3290,-32.0067,-70.3214,47.0,Rio Choapa,470.0,Rio Choapa Alto (Hasta Abajo Junta Rio Cuncumen),2000-01-01,2018-02-03,4121,2000-01-01
4902002,DGA,dga_web,Los Condores,190,-32.1086,-71.3125,49.0,Rio Quilimari,490.0,Rio Quilimari Hasta Muro Embalse Culimo,1977-07-25,2016-12-31,13783,-
5200006,DGA,dga_web,Alicahue,750,-32.3408,-70.7528,52.0,Rio Ligua,520.0,Rio Ligua Alto (Estero Alicahue),1968-02-17,2016-12-31,16389,-
5414001,DGA,dga_web,Rio Putaendo En Resguardo Los Patos,1218,-32.5017,-70.5811,54.0,Rio Aconcagua,541.0,Aconcagua Medio,2014-01-01,2018-02-03,797,2014-01-01
5404001,DGA,dga_web,Canal Colorado En Bocatoma,1391,-32.8347,-70.3533,54.0,Rio Aconcagua,540.0,Aconcagua Alto,2014-01-01,2018-02-03,1293,2014-01-01
5401007,DGA,dga_web,Portillo,3000,-32.8444,-70.1108,54.0,Rio Aconcagua,540.0,Rio Aconcagua Alto (Rio Colorado Y E. Riecillos),2003-01-01,2018-02-03,3521,2003-01-01
5410002,DGA,dga_web,Rio Aconcagua En Chacabuquito,950,-32.8503,-70.5094,54.0,Rio Aconcagua,541.0,Aconcagua Medio,2000-01-01,2018-02-03,4943,2000-01-01
5410006,DGA,dga_web,Vilcuya,1100,-32.8603,-70.4719,54.0,Rio Aconcagua,541.0,Aconcagua Medio,1964-12-01,2016-12-31,18101,-
5401003,DGA,dga_web,Rio Juncal En Juncal,1800,-32.8625,-70.1675,54.0,Rio Aconcagua,540.0,Aconcagua Alto,2014-01-01,2018-02-03,1230,2014-01-01
5426004,DGA,dga_web,Quillota,130,-32.8958,-71.2092,54.0,Rio Aconcagua,542.0,Aconcagua Bajo,1977-11-02,2016-12-31,13946,-
5403002,DGA,dga_web,Rio Aconcagua En Rio Blanco,1420,-32.9067,-70.3036,54.0,Rio Aconcagua,540.0,Aconcagua Alto,2014-01-01,2018-02-03,1215,2014-01-01
5427007,DGA,dga_web,Los Aromos,100,-32.9578,-71.345,54.0,Rio Aconcagua,542.0,Aconcagua Bajo,1981-06-02,2014-05-29,9241,-
5500003,DGA,dga_web,Las Salinas,20,-33.0019,-71.5467,55.0,Costeras Entre Aconcagua Y Maipo,550.0,E. Marga-Marga,2013-08-14,2018-02-03,1363,2013-08-14
5733008,DGA,dga_web,Rungue Embalse,700,-33.0194,-70.9081,57.0,Rio Maipo,573.0,Rio Mapocho Bajo,1965-01-05,2007-05-31,14797,-
5510001,DGA,dga_web,Rodelillo,110,-33.0503,-71.5833,55.0,Costeras Entre Aconcagua Y Maipo,551.0,Lago Penuelas,2014-01-01,2018-02-03,1199,2014-01-01
5732002,DGA,dga_web,Huechun Andina,590,-33.0758,-70.7686,57.0,Rio Maipo,573.0,Rio Mapocho Bajo,1994-01-17,2016-12-31,7387,-
5510005,DGA,dga_web,Cerro Colorado Armada De Chile,510,-33.0819,-71.6169,55.0,Costeras Entre Aconcagua Y Maipo,551.0,Lago Penuelas,2014-01-01,2018-02-03,1293,2014-01-01
5427006,DGA,dga_web,Lliu-Lliu Embalse,260,-33.0986,-71.2144,54.0,Rio Aconcagua,542.0,Aconcagua Bajo,1979-03-14,2016-12-31,13453,-
5510002,DGA,dga_web,Lago Peuelas,360,-33.145,-71.5553,55.0,Costeras Entre Aconcagua Y Maipo,551.0,Lago Penuelas,1974-04-01,2016-12-31,15323,-
5706003,DGA,dga_web,Valle Olivares,2787,-33.1869,-70.1122,57.0,Rio Maipo,570.0,Rio Maipo Alto,2014-01-01,2018-02-03,1358,2014-01-01
5721017,DGA,dga_web,Estero Yerba Loca En Piedra Carvajal,3250,-33.2214,-70.2736,57.0,Rio Maipo,572.0,Rio Mapocho Alto,2011-01-01,2018-02-03,2215,2011-01-01
5721016,DGA,dga_web,Rio San Francisco Antes Junta Estero Yerba Loca,1550,-33.3086,-70.3572,57.0,Rio Maipo,572.0,Rio Mapocho Alto,2011-01-01,2018-02-03,2085,2011-01-01
5722001,DGA,dga_web,Estero Arrayan En La Montosa,880,-33.3256,-70.4561,57.0,Rio Maipo,572.0,Rio Mapocho Alto,2013-08-05,2018-02-03,1607,2013-08-05
5721001,DGA,dga_web,Estero Yerba Loca Antes Junta San Francisco,1350,-33.3414,-70.3636,57.0,Rio Maipo,572.0,Rio Mapocho Alto,2013-10-21,2018-02-03,1567,2013-10-21
5720003,DGA,dga_web,La Ermita Central En Bocatoma,1350,-33.3414,-70.3636,57.0,Rio Maipo,572.0,Rio Mapocho Alto,1991-10-01,2001-12-27,2965,-
